iter	Logloss	Accuracy
578	0.07489407237	1
579	0.07464078943	1
580	0.07461918979	1
581	0.07459783674	1
582	0.07457760182	1
583	0.07436345431	1
584	0.07415338609	1
585	0.07388054654	1
586	0.07385968962	1
587	0.07383906827	1
588	0.07361265434	1
589	0.07340720254	1
590	0.0733870103	1
591	0.07318383576	1
592	0.07316402072	1
593	0.07300002222	1
594	0.07298051793	1
595	0.07268923172	1
596	0.07245033539	1
597	0.0722476416	1
598	0.07206492143	1
599	0.07181947645	1
600	0.0718008789	1
601	0.0717820215	1
602	0.07126444459	1
603	0.07107845561	1
604	0.07086747831	1
605	0.07062878734	1
606	0.07061019234	1
607	0.07021256929	1
608	0.06974766522	1
609	0.06929886636	1
610	0.0691983051	1
611	0.06902415241	1
612	0.0689460288	1
613	0.06873353446	1
614	0.06839640373	1
615	0.06813672411	1
616	0.06791819818	1
617	0.06782677529	1
618	0.06771557425	1
619	0.06743311693	1
620	0.06741457605	1
621	0.06732521006	1
622	0.06693179443	1
623	0.06684720481	1
624	0.06682970463	1
625	0.06681135298	1
626	0.06665126506	1
627	0.06640498394	1
628	0.06624980917	1
629	0.06591710975	1
630	0.06576879604	1
631	0.06575002629	1
632	0.06534751299	1
633	0.06521773975	1
634	0.06491496366	1
635	0.06479915677	1
636	0.06466766565	1
637	0.06441393442	1
638	0.06435210883	1
639	0.0642648662	1
640	0.06417169507	1
641	0.06393291801	1
642	0.06391460471	1
643	0.06389648636	1
644	0.06387856006	1
645	0.06376782607	1
646	0.06375189621	1
647	0.06344042875	1
648	0.06342277752	1
649	0.06319109249	1
650	0.06317359998	1
651	0.0630334325	1
652	0.06282702324	1
653	0.06280984741	1
654	0.06279284947	1
655	0.06277602683	1
656	0.06275937695	1
657	0.0626543021	1
658	0.06252054599	1
659	0.0625041243	1
660	0.06234211108	1
661	0.06229662106	1
662	0.06228046075	1
663	0.06218942086	1
664	0.06208755189	1
665	0.06207167251	1
666	0.06189662509	1
667	0.06188089919	1
668	0.06163721869	1
669	0.06162171419	1
670	0.06152188045	1
671	0.06131079847	1
672	0.06120923548	1
673	0.06119379391	1
674	0.06117825998	1
675	0.06105119709	1
676	0.06103579252	1
677	0.0609378168	1
678	0.06092275777	1
679	0.06083683538	1
680	0.0607097494	1
681	0.06048740366	1
682	0.06047234127	1
683	0.06045763186	1
684	0.0603091197	1
685	0.06021267648	1
686	0.06009624987	1
687	0.05993680316	1
688	0.0598857676	1
689	0.05987137445	1
690	0.05975669672	1
691	0.05974214719	1
692	0.05958419202	1
693	0.05936040762	1
694	0.05928596669	1
695	0.05927189865	1
696	0.05925766918	1
697	0.05916253368	1
698	0.0591487266	1
699	0.05885725522	1
700	0.05875844002	1
701	0.05852358811	1
702	0.05851096321	1
703	0.05849748638	1
704	0.05834348681	1
705	0.05820744364	1
706	0.0581951131	1
707	0.05818158021	1
708	0.05795571082	1
709	0.05781215162	1
710	0.05769711818	1
711	0.05747529563	1
712	0.05746329096	1
713	0.05728354739	1
714	0.05709513523	1
715	0.05708218866	1
716	0.05689758657	1
717	0.05666617915	1
718	0.05657721887	1
719	0.05644061399	1
720	0.05636895723	1
721	0.056197225	1
722	0.05618414708	1
723	0.05611734638	1
724	0.05604575744	1
725	0.05603290144	1
726	0.05602039583	1
727	0.05600774699	1
728	0.055943073	1
729	0.05567495519	1
730	0.05566398772	1
731	0.05565284192	1
732	0.05545357598	1
733	0.0553832868	1
734	0.05537232072	1
735	0.05536045476	1
736	0.05519103471	1
737	0.05518049032	1
738	0.05504217107	1
739	0.05503194854	1
740	0.0550213143	1
741	0.05500981051	1
742	0.05495696739	1
743	0.05473122484	1
744	0.05461094736	1
745	0.05459941652	1
746	0.05444518175	1
747	0.05428546721	1
748	0.05427539665	1
749	0.05426517411	1
750	0.05425503905	1
751	0.05415041722	1
752	0.05413943515	1
753	0.05412948268	1
754	0.05411865258	1
